Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
216,1,2.64064532922842,0,19.4437099164101,0,0,0,0,0,25.3778192718582,0,0,118.757076164713,0.0005855164215237,0,0,0,0,48.4142680219948
217,1,2.61894431511053,0,19.3532729347225,0,0,0,0,0,25.2447753327597,0,0,118.288377133303,0.00052696477937133,0,0,0,0,48.1893139187026
218,1,2.5978191567534,0,19.2641836812285,0,0,0,0,0,25.1142999498686,0,0,117.824835831337,0.000474268301434197,0,0,0,0,47.9679163509156
219,1,2.57724999523948,0,19.1764226950528,0,0,0,0,0,24.9863368660893,0,0,117.366459631779,0.000426841471290778,0,0,0,0,47.75001919381
220,1,2.55721783843744,0,19.0899704635818,0,0,0,0,0,24.8608298938307,0,0,116.913254867463,0.0003841573241617,0,0,0,0,47.5355691050427
221,1,2.53770451741119,0,19.0048074744553,0,0,0,0,0,24.7377230520961,0,0,116.465226477431,0.00034574159174553,0,0,0,0,47.3245151444815
222,1,2.51869264536339,0,18.9209142700161,0,0,0,0,0,24.6169607099185,0,0,116.022377753505,0.000311167432570977,0,0,0,0,47.1168084483764
223,1,2.50016557869502,0,18.8382715006987,0,0,0,0,0,24.4984877298213,0,0,115.584710159149,0.000280050689313879,0,0,0,0,46.9124019467004
224,1,2.48210737997825,0,18.7568599755547,0,0,0,0,0,24.3822496073564,0,0,115.152223203198,0.000252045620382491,0,0,0,0,46.7112501164319
225,1,2.46450278270902,0,18.6766607087245,0,0,0,0,0,24.268192603734,0,0,114.724914354867,0.000226841058344242,0,0,0,0,46.5133087649977
226,1,2.44733715771617,0,18.5976549608398,0,0,0,0,0,24.1562638689693,0,0,114.302778987872,0.000204156952509818,0,0,0,0,46.3185348385848
227,1,2.43059648109058,0,18.5198242743504,0,0,0,0,0,24.0464115531595,0,0,113.885810341933,0.000183741257258836,0,0,0,0,46.1268862501599
228,1,2.41426730346845,0,18.4431505016502,0,0,0,0,0,23.9385849035486,0,0,113.473999489737,0.000165367131532953,0,0,0,0,45.9383217219338
229,1,2.39833672048108,0,18.3676158248329,0,0,0,0,0,23.8327343451538,0,0,113.067335297647,0.000148830418379657,0,0,0,0,45.7528006370739
230,1,2.38279234419038,0,18.2932027660759,0,0,0,0,0,23.7288115431239,0,0,112.665804370005,0.000133947376541692,0,0,0,0,45.570282896101
231,1,2.36762227537868,0,18.219894188157,0,0,0,0,0,23.6267694458195,0,0,112.269390970499,0.000120552638887522,0,0,0,0,45.3907287748489
232,1,2.35281507665951,0,18.1476732854988,0,0,0,0,0,23.5265623089029,0,0,111.878076919975,0.00010849737499877,0,0,0,0,45.2140987832482
233,1,2.33835974651106,0,18.0765235673036,0,0,0,0,0,23.4281457023753,0,0,111.491841477736,9.76476374988932e-05,0,0,0,0,45.0403535272581
234,1,2.32424569449669,0,18.0064288357322,0,0,0,0,0,23.331476504413,0,0,111.110661222253,8.78828737490039e-05,0,0,0,0,44.8694535798379
235,1,2.31046271792866,0,17.9373731620786,0,0,0,0,0,23.2365128859623,0,0,110.734509947431,7.90945863741035e-05,0,0,0,0,44.7013593669283
236,1,2.29700098015594,0,17.8693408633264,0,0,0,0,0,23.1432142894096,0,0,110.363358587142,7.11851277366931e-05,0,0,0,0,44.5360310730344
237,1,2.28385099056475,0,17.8023164807503,0,0,0,0,0,23.0515414037894,0,0,109.997175176309,6.40666149630238e-05,0,0,0,0,44.3734285692113
238,1,2.27100358629647,0,17.7362847615439,0,0,0,0,0,22.961456138168,0,0,109.635924852528,5.76599534667214e-05,0,0,0,0,44.2135113645272
239,1,2.25844991562106,0,17.6712306438918,0,0,0,0,0,22.8729215941642,0,0,109.279569898668,5.18939581200493e-05,0,0,0,0,44.0562385806496
240,1,2.24618142285961,0,17.6071392455108,0,0,0,0,0,22.785902038088,0,0,108.928069824373,4.67045623080444e-05,0,0,0,0,43.9015689481718
241,1,2.2341898347268,0,17.5439958554505,0,0,0,0,0,22.7003628728976,0,0,108.581381482834,4.20341060772399e-05,0,0,0,0,43.7494608226777
