Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
292,1,1.36537297015523,0,11.9427924886036,0,0,0,0,0,16.1792431355195,0,0,86.2911811951819,1.94970900386469e-07,0,0,0,0,34.9456686358006
293,1,1.3616112397734,0,11.9146066150498,0,0,0,0,0,16.1408596032987,0,0,86.0968812664207,1.75473810347822e-07,0,0,0,0,34.8660036273565
294,1,1.35791032793732,0,11.8867976393765,0,0,0,0,0,16.1030128376339,0,0,85.9051105480915,1.5792642931304e-07,0,0,0,0,34.7874244298805
295,1,1.35426891352941,0,11.8593597296375,0,0,0,0,0,16.0656936048598,0,0,85.7158340187598,1.42133786381736e-07,0,0,0,0,34.7099143708193
296,1,1.35068571376489,0,11.83228715641,0,0,0,0,0,16.0288928559433,0,0,85.5290171144725,1.27920407743562e-07,0,0,0,0,34.6334570614702
297,1,1.34715948266432,0,11.8055742911174,0,0,0,0,0,15.9926017247694,0,0,85.3446257139414,1.15128366969206e-07,0,0,0,0,34.5580363852431
298,1,1.34368900959684,0,11.7792156043028,0,0,0,0,0,15.95681152619,0,0,85.1626261253031,1.03615530272285e-07,0,0,0,0,34.4836364870234
299,1,1.34027311789196,0,11.7532056638577,0,0,0,0,0,15.9215137538333,0,0,84.9829850743659,9.32539772450569e-08,0,0,0,0,34.410241763575
300,1,1.33691066351757,0,11.7275391332123,0,0,0,0,0,15.8867000776866,0,0,84.8056696942625,8.39285795205512e-08,0,0,0,0,34.3378368549252
301,1,1.33360053382258,0,11.7022107695004,0,0,0,0,0,15.8523623414659,0,0,84.6306475164432,7.55357215684961e-08,0,0,0,0,34.2664066366788
302,1,1.33034164634212,0,11.6772154217075,0,0,0,0,0,15.818492559793,0,0,84.4578864629455,6.79821494116465e-08,0,0,0,0,34.1959362132105
303,1,1.32713294766377,0,11.6525480288188,0,0,0,0,0,15.7850829152047,0,0,84.2873548398842,6.11839344704818e-08,0,0,0,0,34.1264109116853
304,1,1.32397341235291,0,11.6282036179772,0,0,0,0,0,15.7521257550181,0,0,84.1190213321045,5.50655410234336e-08,0,0,0,0,34.0578162768577
305,1,1.32086204193544,0,11.6041773026651,0,0,0,0,0,15.71961358808,0,0,83.9528549989326,4.95589869210903e-08,0,0,0,0,33.9901380665975
306,1,1.31779786393581,0,11.5804642809204,0,0,0,0,0,15.6875390814239,0,0,83.7888252709525,4.46030882289812e-08,0,0,0,0,33.9233622480874
307,1,1.31477993096797,0,11.5570598335942,0,0,0,0,0,15.6558950568584,0,0,83.6269019477246,4.01427794060831e-08,0,0,0,0,33.8574749946338
308,1,1.31180731987705,0,11.5339593226574,0,0,0,0,0,15.6246744875078,0,0,83.4670551963489,3.61285014654748e-08,0,0,0,0,33.7924626830285
309,1,1.30887913092888,0,11.5111581895589,0,0,0,0,0,15.5938704943219,0,0,83.3092555507677,3.25156513189273e-08,0,0,0,0,33.7283118913946
